Formula,Num_Variables
exp(-x_1**2/2)/sqrt(2*x_2),2
x_1*x_2,2
x_1/(2*(1+x_2)),2
1/2*x_1*x_2**2,2
x_1*x_2**2,2
x_1/x_2,2
3/2*x_1*x_2,2
1+x_1*x_2/(1-(x_1*x_2/3)),2
x_1*x_2**2/2,2
arcsin(x_1*sin(x_2)),2
(x_1+x_2)/(1+x_1*x_2/x_3**2),3
arccos((cos(x_1)-x_2/x_3)/(1-x_2/x_3*cos(x_1))),3
(x_1/(2*x_2))*x_3,3
x_1*x_2**2/sqrt(1-x_3**2/x_2**2),3
sqrt(x_1*x_2/x_3),3
x_1/(4*x_2*x_3**2),3
x_1*(x_2/(2*x_3)),3
exp(-(x_1/x_2)**2/2)/(sqrt(2*x_3)*x_2),3
x_1*x_2*sin(x_3),3
x_1/(1-x_2/x_3),3
x_1*(1+x_2)*x_3,3
x_1/sqrt(1-x_2**2/x_3**2),3
x_1*(1+x_2*cos(x_3)),3
x_1*x_2*x_3/2,3
x_1*x_2/sqrt(1-x_2**2/x_3**2),3
x_1/x_2*1/(1+x_3),3
2*x_1*(1-cos(x_2*x_3)),3
x_1+x_2+2*sqrt(x_1*x_2)*cos(x_3),3
x_1*sin(x_2*x_3/2)**2/sin(x_3/2)**2,3
1/(x_1-1)*x_2*x_3,3
x_1*x_2*x_3,3
x_1*x_2*x_3**2,3
arcsin(x_1/(x_2*x_3)),3
(1+x_1/x_2)/sqrt(1-x_1**2/x_2**2)*x_3,3
1/(1/x_1+x_2/x_3),3
(x_1-x_2*x_3/x_4**2)/sqrt(1-x_2**2/x_4**2),4
(x_1/(2*x_2))**2/(2*x_3*x_4**2),4
2*x_1*x_2/(x_3*x_4),4
exp(-((x_1-x_2)/x_3)**2/2)/(sqrt(2*x_4)*x_3),4
x_1*sqrt(x_2**2+x_3**2+x_4**2),4
x_1*x_2/(4*x_3*x_4*x_2**3),4
sqrt(x_1**2/x_2**2-x_3**2/x_4**2),4
sin(x_1*x_2/(x_3/(2*x_4)))**2,4
(x_1*x_2+x_3*x_4)/(x_1+x_3),4
1/2*x_1*(x_2**2+x_3**2+x_4**2),4
x_1*x_2*x_3*sin(x_4),4
x_1*x_2/(4*x_3*x_4),4
x_1/(4*x_2*x_3*x_4),4
x_1*x_2/(2*x_3*x_4),4
2*x_1*x_2/(x_3/(2*x_4)),4
(x_1-x_2*x_3)/sqrt(1-x_2**2/x_4**2),4
3/5*x_1**2/(4*x_2*x_3*x_4),4
x_1*x_2*x_3/x_4,4
x_1*(1-x_2**2)/(1+x_2*cos(x_3-x_4)),4
sqrt(x_1**2+x_2**2-2*x_1*x_2*cos(x_3-x_4)),4
sqrt(1-x_1**2/x_2**2)*x_3/(1+x_1/x_2*cos(x_4)),4
1/(x_1-1)*x_2*x_3/x_4,4
1/2*x_1*(x_2**2+x_3**2)*1/2*x_4**2,4
x_1*x_2*x_3/(2*x_4),4
x_1/(1+x_1/(x_2*x_3**2)*(1-cos(x_4))),4
x_1*x_2/(1-(x_1*x_2/3))*x_3*x_4,4
x_1*(sin(x_2/2)*sin(x_3*x_4/2)/(x_2/2*sin(x_4/2)))**2,4
sqrt((x_1-x_2)**2+(x_3-x_4)**2),4
x_1*(cos(x_2*x_3)+x_4*cos(x_2*x_3)**2),4
x_1**2*x_2**2/(6*x_3*x_4*x_5**3),5
1/(4*x_1*x_2*x_3**2)*2*x_4/x_5,5
(x_1/(2*x_2))*x_3/(exp((x_1/(2*x_2))*x_3/(x_4*x_5))-1),5
2*x_1*x_2**(3/2)/sqrt(x_3*(x_4+x_5)),5
4*x_1*x_2*(x_3/(2*x_1))**2/(x_4*x_5**2),5
x_1*x_2*x_3/(4*x_4*x_5*x_3**3),5
1/(exp((x_1/(2*x_2))*x_3/(x_4*x_5))-1),5
x_1/(4*x_2*x_3)*3*cos(x_4)*sin(x_4)/x_5**3,5
2*x_1*x_2**2*x_3/(x_4/(2*x_5)),5
1/(4*x_1*x_2)*x_3*cos(x_4)/x_5**2,5
x_1*(exp(x_2*x_3/(x_4*x_5))-1),5
x_1*cos(x_2)*(-x_3+x_4**3/x_3**2*(x_5-1)/(x_5+2)),5
-32/5*x_1**4/x_2**5*(x_3*x_4)**2*(x_3+x_4)/x_5**5,5
x_1*(x_2+x_3*x_4*sin(x_5)),5
sqrt(2/x_1*(x_2-x_3-x_4**2/(2*x_1*x_5**2))),5
x_1/(exp(x_2*x_3/(x_4*x_5))+exp(-x_2*x_3/(x_4*x_5))),5
x_1*(x_2-x_3)*x_4/x_5,5
x_1*x_2/(x_3*(x_4**2-x_5**2)),5
x_1*x_2*x_3*(1/x_4-1/x_5),5
x_1*x_2**2*x_3/(3*x_4*x_5),5
x_1*x_2*x_3*x_4(x_5/x_6),6
x_1*x_2*x_3*x_4/(x_5/(2*x_6)),6
x_1/(4*x_2*x_3*x_4**2)*(4*x_2*x_3*x_5*x_6-x_1*x_6*x_4**3/(x_4**2-x_6**2)**2),6
sqrt(8*x_1*x_2*x_3/3-x_4*x_5**2/x_6**2),6
1/(4*x_1*x_2)*x_3/sqrt(x_4**2+x_5**2-2*x_4*x_5*cos(x_6)),6
x_1*x_2*x_3(x_2*x_4/(x_5*x_6)),6
3/(8*x_1*x_2)*(x_3**2*x_4/x_5**2+x_6**2),6
x_1/(2*x_2)*x_3**3/(x_2**2*x_4**2*(exp((x_1/(2*x_2))*x_3/(x_5*x_6))-1)),6
x_1/(4*x_2*x_3*x_4*(1-x_5/x_6)),6
x_1*exp(-x_2*x_3*x_4/(x_5*x_6)),6
1/(2*x_1)*(x_2**2+x_1**2*x_3**2*x_4**2*(1+x_5*x_4/x_6)),6
sqrt((x_1-x_2*x_3)**2*x_4**2+x_5**2*x_4**4)+x_2*x_6,6
x_1*x_2+x_3*x_4+x_5*x_6,6
x_1*x_2/x_3**2*(1+sqrt(1+2*x_4*x_3**2/(x_1*x_2**2))*cos(x_5-x_6)),6
x_1*(1+x_2*x_3*cos(x_4)/(x_5*x_6)),6
-x_1*x_2**4/(2*(4*x_3*x_4)**2*(x_5/(2*x_3))**2)*(1/x_6**2),6
-1/(8*x_1*x_2)*(x_3**4*x_4/x_5**2+x_6**2*x_3**2*(1-2*x_7)),7
(1/2*x_1*x_2*x_3**2)*(8*x_4*x_5**2/3)*(x_6**4/(x_6**2-x_7**2)**2),7
x_1/(4*x_2*x_3)*3*x_4/x_5**5*sqrt(x_6**2+x_7**2),7
(x_1*x_2*x_3/(x_4/(2*x_5)))*sin((x_6-x_7)*x_3/2)**2/((x_6-x_7)*x_3/2)**2,7
sqrt(1+2*x_1**2*x_2*x_3**2/(x_4*(x_5*x_6*x_7**2)**2)),7
(x_1*x_2*x_3*x_4*x_5/(4*x_6*sin(x_7/2)**2))**2,7
1/(4*x_1)*x_2**2*x_3**2/(x_4**2*x_5**2)*(x_6/x_7)**2*(x_6/x_7+x_7/x_6-sin(x_8)**2),8
x_1*x_2/(x_3*x_4)+(x_1*x_5)/(x_6*x_7**2*x_3*x_4)*x_8,8
x_1*x_2*x_3/((x_4-x_5)**2+(x_6-x_7)**2+(x_8-x_9)**2),9
